Date,Total Records,Status,Verification,High,Low,Close,Next High,Next Low,Next Close
09/05/2021,129030,completed,passed,2929.32,2779.03,2818.73,2981.27,2804.53,2980.79
09/06/2021,109051,completed,passed,2981.27,2804.53,2980.79,3004.23,2912.99,2936.61
09/07/2021,86416,completed,passed,3004.23,2912.99,2936.61,2940.91,2873.64,2876.59
09/08/2021,74724,completed,passed,2940.91,2873.64,2876.59,2912.38,2865.96,2875.98
09/09/2021,72818,completed,passed,2912.38,2865.96,2875.98,2947.5,2887.47,2947.42
09/12/2021,96502,completed,passed,2947.5,2887.47,2947.42,2984.31,2939.79,2947.7
09/13/2021,93163,completed,passed,2984.31,2939.79,2947.7,2964.54,2915.62,2929.29
09/14/2021,59773,completed,passed,2964.54,2915.62,2929.29,2936.89,2881.53,2889.03
09/15/2021,75856,completed,passed,2936.89,2881.53,2889.03,2889.21,2795.24,2812.39
09/16/2021,113685,completed,passed,2889.21,2795.24,2812.39,2821.13,2696.81,2698.25
09/20/2021,107496,completed,passed,2821.13,2696.81,2698.25,2766.45,2613.87,2712.07
09/21/2021,95569,completed,passed,2766.45,2613.87,2712.07,2819.03,2719.89,2816.95
09/22/2021,72654,completed,passed,2819.03,2719.89,2816.95,2883.13,2804.16,2819.66
09/23/2021,87758,completed,passed,2883.13,2804.16,2819.66,2846.29,2756.33,2758.48
09/26/2021,73650,completed,passed,2846.29,2756.33,2758.48,2769.79,2678.14,2685.42
09/27/2021,67503,completed,passed,2769.79,2678.14,2685.42,2695.35,2602.19,2615.4
09/28/2021,75316,completed,passed,2695.35,2602.19,2615.4,2666.19,2578.76,2665.94
09/29/2021,63887,completed,passed,2666.19,2578.76,2665.94,2687.59,2629.95,2633.42
09/30/2021,49348,completed,failed,2687.59,2629.95,2633.42,2640.84,2572.96,2577.5
10/03/2021,52295,completed,passed,2640.84,2572.96,2577.5,2596.67,2542.09,2570.81
10/04/2021,48169,completed,passed,2596.67,2542.09,2570.81,2620.32,2569.78,2612.65
10/05/2021,40923,completed,passed,2620.32,2569.78,2612.65,2681.39,2614.52,2681.11
10/06/2021,55192,completed,passed,2681.39,2614.52,2681.11,2720.36,2654.35,2662.58
10/10/2021,53988,completed,passed,2720.36,2654.35,2662.58,2670.34,2616.4,2639.38
